Authority Code,Authorities,Religion,Total
E06000001,Hartlepool,Jewish,27
E06000002,Middlesbrough,Jewish,41
E06000003,Redcar and Cleveland,Jewish,37
E06000004,Stockton-on-Tees,Jewish,61
E06000005,Darlington,Jewish,36
E06000006,Halton,Jewish,46
E06000007,Warrington,Jewish,190
E06000008,Blackburn with Darwen,Jewish,49
E06000009,Blackpool,Jewish,227
E06000010,Kingston upon Hull,Jewish,146
E06000011,East Riding of Yorkshire,Jewish,284
E06000012,North East Lincolnshire,Jewish,79
E06000013,North Lincolnshire,Jewish,49
E06000014,York,Jewish,273
E06000015,Derby,Jewish,150
E06000016,Leicester,Jewish,326
E06000017,Rutland,Jewish,53
E06000018,Nottingham,Jewish,941
E06000019,Herefordshire,Jewish,142
E06000020,Telford and Wrekin,Jewish,78
E06000021,Stoke-on-Trent,Jewish,83
E06000022,Bath and North East Somerset,Jewish,325
E06000023,Bristol,Jewish,1228
E06000024,North Somerset,Jewish,166
E06000025,South Gloucestershire,Jewish,173
E06000026,Plymouth,Jewish,207
E06000027,Torbay,Jewish,141
E06000030,Swindon,Jewish,131
E06000031,Peterborough,Jewish,185
E06000032,Luton,Jewish,246
E06000033,Southend-on-Sea,Jewish,2057
E06000034,Thurrock,Jewish,225
E06000035,Medway,Jewish,217
E06000036,Bracknell Forest,Jewish,190
E06000037,West Berkshire,Jewish,236
E06000038,Reading,Jewish,329
E06000039,Slough,Jewish,85
E06000040,Windsor and Maidenhead,Jewish,521
E06000041,Wokingham,Jewish,435
E06000042,Milton Keynes,Jewish,383
E06000043,Brighton and Hove,Jewish,2455
E06000044,Portsmouth,Jewish,200
E06000045,Southampton,Jewish,254
E06000046,Isle of Wight,Jewish,136
E06000047,County Durham,Jewish,286
E06000049,Cheshire East,Jewish,640
E06000050,Cheshire West and Chester,Jewish,288
E06000051,Shropshire,Jewish,182
E06000052,Cornwall,Jewish,507
E06000053,Isles of Scilly,Jewish,1
E06000054,Wiltshire,Jewish,458
E06000055,Bedford,Jewish,232
E06000056,Central Bedfordshire,Jewish,620
E06000057,Northumberland,Jewish,172
E06000058,"Bournemouth, Christchurch and Poole",Jewish,1601
E06000059,Dorset,Jewish,453
E06000060,Buckinghamshire,Jewish,1688
E06000061,North Northamptonshire,Jewish,291
E06000062,West Northamptonshire,Jewish,430
E07000008,Cambridge,Jewish,1057
E07000009,East Cambridgeshire,Jewish,123
E07000010,Fenland,Jewish,110
E07000011,Huntingdonshire,Jewish,222
E07000012,South Cambridgeshire,Jewish,466
E07000026,Allerdale,Jewish,36
E07000027,Barrow-in-Furness,Jewish,19
E07000028,Carlisle,Jewish,44
E07000029,Copeland,Jewish,17
